Ite Exchanges Sparsity Functional_value
1 0 99.38182741976459 271.9230888386585
11 18782353 98.7551867219917 232.8718451485832
21 37446201 98.12642899483444 199.39602201689956
31 55991107 97.35583029892454 170.7002449846773
41 74390287 96.61698704378017 146.10263726130273
51 92649925 95.76594123126429 125.0186020614834
61 110748392 94.81327800829875 106.94693404011277
71 128666842 93.75264628673045 91.45809165514449
81 146385033 92.66872724193412 78.18369545233705
91 163898973 91.51494622745363 66.80807034000638
101 181194350 90.18968583283936 57.06041300770413
111 198239498 88.84748920315013 48.708883558330285
121 215030979 87.36556863409264 41.55437268826299
131 231542633 85.60208315691422 35.426842076394706
141 247720968 83.8703531205013 30.18008974252509
151 263572310 82.11533576086036 25.68841687298559
161 279091680 80.08933864002033 21.844410597246206
171 294228186 78.07180963671776 18.556183030142886
181 308983517 75.7113218731476 15.745037665739222
191 323293023 73.28308916927767 13.343351016381957
201 337143703 70.71301549665509 11.29327108500815
211 350508626 67.96087729697688 9.545045571590256
221 363353829 65.04572783470235 8.056285601072027
231 375648053 61.937928698450335 6.790428307857377
241 387355134 58.73062918113303 5.716284296378755
251 398456056 55.4534676941316 4.806482809450661
261 408937674 51.805826064865784 4.0386044422352025
271 418730296 48.071386230840886 3.39288291290796
281 427817625 44.1845202811415 2.8524513169499945
291 436170149 40.2066220679143 2.4026321653951808
301 443770977 36.18850029638411 2.030657734343291
311 450612771 32.15767634854772 1.725521654527502
321 456692856 28.171310017783046 1.4776937959050653
331 462019882 24.24210348039631 1.2787607074788447
341 466604378 20.4293335591498 1.1212861608650755
351 470468543 16.97645863324583 0.9985606835747636
361 473680425 13.627318147175883 0.9046973351278842
371 476259684 10.733338978745024 0.834799082015178
381 478291790 8.175967482428655 0.7840297828088207
391 479840739 6.071640274367009 0.7482759985152485
401 480992008 4.339910237954103 0.7239636943817638
411 481816394 3.0485223134897113 0.7080858386277125
421 482396696 2.034465238377509 0.6982071158242344
431 482785070 1.4078245406046237 0.692364856236673
441 483055270 0.9759505461935811 0.6890028734419038
451 483243960 0.6838004911508172 0.6871659453009497
461 483377205 0.5292573460919637 0.6863292899596375
471 483481689 0.4424591413328817 0.6859162381507558
481 483569501 0.41282072995173175 0.685717004271
491 483651760 0.39376746549242103 0.6855974302413056
501 483730428 0.3768312304174782 0.6855126965041662
511 483805834 0.37048014226437465 0.685460524837196
521 483879980 0.3747142010331103 0.6854097731802186
531 483954671 0.37048014226437465 0.6853680971930586
541 484028703 0.3577779659581675 0.6853288260534944
551 484100808 0.3535439071894318 0.6852959614307506
561 484171818 0.3471928190363282 0.6852681874861443
571 484241802 0.3450757896519604 0.6852395960251464
581 484311154 0.3450757896519604 0.6852149979135784
591 484380793 0.34295876026759253 0.6851940125665713
601 484449473 0.34295876026759253 0.6851756568792194
611 484518495 0.3450757896519604 0.6851599889659555
621 484588045 0.34295876026759253 0.685144165415624
631 484657063 0.34295876026759253 0.685130740092196
641 484726155 0.3450757896519604 0.6851186152688888
651 484795685 0.3450757896519604 0.6851082471342327
661 484864867 0.3450757896519604 0.6850993811107923
671 484934498 0.3450757896519604 0.685091799523847
681 485004055 0.34295876026759253 0.6850805568018374
691 485072993 0.34295876026759253 0.685070996597397
701 485141735 0.34295876026759253 0.6850628218841474
711 485210787 0.3450757896519604 0.6850546374801064
721 485280279 0.34084173088322467 0.6850476529336391
731 485348703 0.34084173088322467 0.685041693953111
741 485417312 0.3387247014988568 0.6850365981026818
751 485485662 0.3387247014988568 0.6850322427130162
761 485553956 0.3387247014988568 0.685028517921236
771 485622141 0.34084173088322467 0.6850243258700498
781 485690898 0.34084173088322467 0.6850207407348458
791 485759565 0.34084173088322467 0.6850176746161192
801 485828073 0.34084173088322467 0.6850150523497939
811 485896588 0.34084173088322467 0.6850128096612511
821 485965465 0.34295876026759253 0.685010879647802
831 486034361 0.34295876026759253 0.6850092290024398
841 486103366 0.34295876026759253 0.6850078172728065
851 486172383 0.34295876026759253 0.6850066098662327
861 486241481 0.34295876026759253 0.6850055772005896
871 486310536 0.3450757896519604 0.6850032846161478
881 486379787 0.3450757896519604 0.6850013228609834
891 486449119 0.3450757896519604 0.6849996441785179
901 486518372 0.3450757896519604 0.6849982077087062
911 486587828 0.3450757896519604 0.684996978491675
921 486657519 0.3450757896519604 0.6849959266153784
931 486726727 0.3450757896519604 0.6849950264864421
941 486795970 0.3450757896519604 0.6849942562063839
951 486865597 0.3471928190363282 0.6849935970211989
961 486935419 0.3471928190363282 0.6849930329184002
971 487005314 0.3471928190363282 0.6849925501790007
981 487074953 0.3471928190363282 0.6849921370641184
991 487144367 0.3471928190363282 0.6849917835290732
