Ite Exchanges Sparsity Functional_value
1 0 99.38182741976459 271.9230888386585
11 18791380 98.7551867219917 232.8718451485832
21 37477460 98.12642899483444 199.39602201689956
31 56057720 97.35583029892454 170.7002449846773
41 74507240 96.61910407316454 146.1026372409827
51 92831650 95.77017529003302 125.0186007754875
61 111011290 94.81539503768312 106.94693267151844
71 129030410 93.7568803454992 91.45808870837465
81 146870350 92.67296130070285 78.18369149721917
91 164527490 91.52341434499111 66.80805813456784
101 181990760 90.20238800914557 57.060394015678675
111 199229630 88.86442543822508 48.70882081178744
121 216241670 87.38462189855196 41.554258882994326
131 233003120 85.6232534507579 35.4266816974677
141 249469910 83.89152341434499 30.179888431210102
151 265642960 82.13650605470404 25.688175163208356
161 281518420 80.10839190447963 21.844126798817218
171 297053960 78.09721398933017 18.555908387661596
181 312252440 75.74519434329748 15.744774657689927
191 327051400 73.32119569819629 13.343096219883154
201 341440570 70.75747311372682 11.293011323424704
211 355397390 68.01168600220171 9.544780199744658
221 368887180 65.09865356931154 8.056012936548898
231 381884470 61.99085443305953 6.790154845617697
241 394357170 58.78778897451097 5.716007101600773
251 406288220 55.510627487509524 4.806189466904866
261 417667970 51.87568803454992 4.038292631478075
271 428434040 48.14336522990939 3.3925517238467666
281 438570490 44.25438225082564 2.8521078984673314
291 448043800 40.27860106698281 2.402275151656723
301 456843650 36.24989414853078 2.0302946700073012
311 464960540 32.221187230078755 1.7251525820359823
321 472394390 28.22846981116098 1.4773194394254854
331 479148540 24.29714624438987 1.2783812863912951
341 485237200 20.486493352527734 1.1209035271791028
351 490677870 17.031501397239392 0.9981757045655637
361 495530760 13.673892793631975 0.9043114025458163
371 499816240 10.784147683969854 0.8344117664801725
381 503611500 8.224659158269116 0.7836412489092807
391 506971500 6.122448979591836 0.7478875193219153
401 509974480 4.390718943178931 0.7235748517195039
411 512684360 3.097213989330172 0.7076973647669281
421 515175690 2.0789228554492336 0.6978192530747687
431 517496260 1.4543991870607165 0.6919775261770353
441 519713450 1.0204081632653061 0.688620532518272
451 521858730 0.7261410788381742 0.6867880895924877
461 523956680 0.5737149631636888 0.6859550994273507
471 526030420 0.48691675840460663 0.6855455284448136
481 528090340 0.4572783470234567 0.685349210734906
491 530146160 0.438225082564146 0.6852322814644147
501 532199590 0.4191718181048353 0.6851514543020788
511 534250840 0.41282072995173175 0.6851025121043884
521 536301490 0.4149377593360996 0.6850619927305058
531 538352340 0.40646964179862816 0.6850292827906028
541 540402360 0.3958844948767889 0.6850045322696284
551 542451350 0.3895334067236853 0.6849842274676397
561 544499740 0.38318231857058177 0.6849672731055031
571 546547510 0.37894825980184604 0.6849537685878194
581 548594880 0.3768312304174782 0.6849426527935744
591 550642050 0.3747142010331103 0.6849331946213165
601 552689020 0.3725971716487425 0.6849252719917183
611 554735790 0.3725971716487425 0.6849185228874813
621 556782560 0.3683631128800068 0.6849127877767281
631 558828930 0.3683631128800068 0.6849079606328122
641 560875300 0.3683631128800068 0.684903833498297
651 562921670 0.3683631128800068 0.6849003048003663
661 564968040 0.3683631128800068 0.6848972877146354
671 567014410 0.3683631128800068 0.6848947080220145
681 569060780 0.36412905411127106 0.6848926399664372
691 571106750 0.36412905411127106 0.684890907629118
701 573152720 0.36412905411127106 0.684889426453189
711 575198690 0.36412905411127106 0.6848881600057913
721 577244660 0.35989499534253533 0.6848870968316854
731 579290230 0.35989499534253533 0.6848861974194984
741 581335800 0.3577779659581675 0.6848854304509618
751 583381170 0.3577779659581675 0.6848847755561167
761 585426540 0.3577779659581675 0.6848842155474618
771 587471910 0.3577779659581675 0.6848837366710577
781 589517280 0.3577779659581675 0.6848833271676176
791 591562650 0.3577779659581675 0.6848829769830722
801 593608020 0.3577779659581675 0.6848826775211609
811 595653390 0.3577779659581675 0.68488242143194
821 597698760 0.3577779659581675 0.6848822024309932
831 599744130 0.3577779659581675 0.6848820151448813
841 601789500 0.3577779659581675 0.6848818549790233
851 603834870 0.3577779659581675 0.6848817180047481
861 605880240 0.3577779659581675 0.6848816008627354
871 607925610 0.3577779659581675 0.6848815006804658
881 609970980 0.3577779659581675 0.6848814150016451
891 612016350 0.3577779659581675 0.6848813417258677
901 614061720 0.3577779659581675 0.684881279057028
911 616107090 0.3577779659581675 0.6848812254592168
921 618152460 0.3577779659581675 0.6848811796190115
931 620197830 0.3577779659581675 0.6848811404132324
941 622243200 0.3577779659581675 0.6848811068813779
951 624288570 0.3577779659581675 0.6848810782020517
961 626333940 0.3577779659581675 0.6848810536728097
971 628379310 0.3577779659581675 0.684881032692927
981 630424680 0.3577779659581675 0.6848810147486626
991 632470050 0.3577779659581675 0.684880999400659
