Ite Exchanges Sparsity Functional_value
1 0 93.98763654839529 55.96180422948598
11 17758400 87.67677195359471 44.9317210681905
21 34349184 81.0652891862139 35.719465211201964
31 49665984 73.80599542721653 28.074920261515324
41 63663639 66.22703023117961 21.786231247975827
51 76176839 58.485053772546365 16.662839749528704
61 87227239 50.82352443051909 12.539089269421234
71 96830039 43.14294182403252 9.266815662132434
81 105208297 35.72910491997629 6.724016549821037
91 112086463 28.628588364806504 4.79089654540373
101 117637123 22.046744008806844 3.369498669510037
111 121956675 16.277838936404436 2.3589974182458313
121 125032275 11.383266999745956 1.6740201498232206
131 127358004 7.720806164789567 1.2283261727140902
141 128998648 4.8966889660428485 0.9548500954713188
151 129923848 2.92150055042764 0.7990275895051059
161 130475848 1.6893894487255483 0.7169847753950895
171 130795048 0.9526632229655347 0.6784228392377502
181 130975048 0.5970022863917351 0.6630146279135584
191 131087848 0.43610805317977813 0.6567473936701076
201 131170248 0.37894825980184604 0.6546247186726499
211 131637268 0.34930984842069607 0.6536606792179553
221 131703268 0.32813955457701754 0.6532290346659706
231 131963322 0.32178846642391395 0.6529458083812304
241 132024122 0.3196714370395461 0.6527098246978504
251 132084522 0.30908629011770683 0.6525209365357534
261 132142922 0.3048522313489711 0.6523889993523299
271 132200522 0.30061817258023543 0.6522845292576154
281 132257322 0.30061817258023543 0.6521974587633994
291 132314122 0.29426708442713184 0.6521264981117296
301 132369722 0.292150055042764 0.6520685876551292
311 132623314 0.2879159962740283 0.652022023962918
321 132677714 0.2836819375052926 0.6519843593164661
331 132731314 0.2815649081209247 0.6519547038532749
341 132784514 0.27944787873655685 0.6519313863870804
351 133035825 0.27944787873655685 0.6519123852443296
361 133088625 0.27944787873655685 0.651896404843447
371 133141425 0.2752138199678211 0.6518830067213763
381 133391976 0.2730967905834533 0.6518717795225379
391 133443576 0.2730967905834533 0.6518623391660022
401 133693747 0.2730967905834533 0.6518543861206543
411 133745347 0.27097976119908546 0.6518477293301091
421 133796547 0.2688627318147176 0.6518422411423033
431 133847347 0.2688627318147176 0.6518376511585456
441 133898147 0.26674570243034973 0.6518338683034226
451 134147178 0.26674570243034973 0.6518307417807957
461 134396209 0.26674570243034973 0.6518281051064547
471 134645240 0.26674570243034973 0.6518258808637484
481 134695640 0.26674570243034973 0.6518240040241005
491 134746040 0.26462867304598187 0.6518224945014006
501 134796040 0.26462867304598187 0.6518212356460534
511 134846040 0.26462867304598187 0.6518201735335045
521 134896040 0.26462867304598187 0.6518192771928178
531 135144691 0.26462867304598187 0.65181852058299
541 135393342 0.26462867304598187 0.651817881793299
551 135443342 0.26462867304598187 0.6518173423778646
561 135691993 0.262511643661614 0.6518169031364084
571 135741593 0.262511643661614 0.6518165387608987
581 135989864 0.262511643661614 0.6518162310674519
591 136039464 0.262511643661614 0.6518159711943292
601 136486406 0.262511643661614 0.6518157516744791
611 136536006 0.262511643661614 0.651815566214004
621 136784277 0.262511643661614 0.6518154095062911
631 136833877 0.2603946142772462 0.6518152800696316
641 136883077 0.25827758489287833 0.6518151783882044
651 136931877 0.25827758489287833 0.6518150952141128
661 136980677 0.25827758489287833 0.6518150249965908
671 137228188 0.25827758489287833 0.651814965706915
681 137674410 0.25827758489287833 0.6518149156361696
691 138120632 0.25827758489287833 0.6518148733443643
701 138169432 0.25827758489287833 0.6518148376177573
711 138416943 0.25827758489287833 0.6518148074330264
721 138664454 0.25827758489287833 0.6518147819271793
731 138911965 0.25616055550851047 0.6518147603958052
741 139357827 0.25616055550851047 0.6518147423120684
751 139406227 0.25616055550851047 0.651814727030136
761 139454627 0.25616055550851047 0.6518147141143203
771 139503027 0.25616055550851047 0.6518147031969945
781 139551427 0.25616055550851047 0.6518146939678973
791 139599827 0.25616055550851047 0.6518146861651297
801 139846958 0.25616055550851047 0.6518146795675804
811 140094089 0.25616055550851047 0.6518146739885395
821 140142489 0.25616055550851047 0.6518146692703246
831 140389620 0.25616055550851047 0.6518146652797467
841 140438020 0.25616055550851047 0.6518146619042907
851 140685151 0.25616055550851047 0.6518146590488937
861 141131013 0.25616055550851047 0.6518146566332282
871 141378144 0.25616055550851047 0.6518146545894099
881 141426544 0.25616055550851047 0.6518146528600635
891 141673675 0.25616055550851047 0.6518146513966904
901 141722075 0.25616055550851047 0.6518146501582918
911 141770475 0.25616055550851047 0.6518146491102039
921 141818875 0.25616055550851047 0.651814648223118
931 142066006 0.25616055550851047 0.6518146474722495
941 142114406 0.25616055550851047 0.651814646836638
951 142162806 0.25616055550851047 0.6518146462985563
961 142807399 0.25616055550851047 0.6518146458430099
971 143054530 0.25616055550851047 0.6518146454573135
981 143102930 0.25616055550851047 0.6518146451307373
991 143350061 0.25616055550851047 0.651814644854202
