Ite Exchanges Sparsity Functional_value
1 0 99.38182741976459 271.9230888386585
11 18778001 98.75095266322296 232.87184762542518
21 37436911 98.12431196545008 199.3960261318905
31 55977424 97.35371326954018 170.70025010258598
41 74372283 96.6148700143958 146.10264291676947
51 92627452 95.75959014311118 125.01863843368301
61 110721121 94.80480989076128 106.94699940725724
71 128634388 93.74417816919299 91.4581831519195
81 146347244 92.65814209501228 78.18381443376603
91 163854949 91.50224405114743 66.80821300414758
101 181144176 90.17910068591752 57.06057649878254
111 198183539 88.83266999745956 48.709065582890624
121 214968374 87.3486323990177 41.5545710894925
131 231472739 85.5830298924549 35.42705487497232
141 247643504 83.84918282665764 30.180315452832485
151 263486748 82.08993140824795 25.688655989332947
161 278997593 80.05546616987044 21.844671475975158
171 294124159 78.0358201371835 18.556507702099083
181 308869062 75.67321534422898 15.745424886563555
191 323167520 73.24709966974342 13.343796020776075
201 337007599 70.6791430265052 11.293729444012246
211 350362389 67.92488779744262 9.545516127143785
221 363196786 65.00762130578373 8.056769715685897
231 375480006 61.90193919891608 6.79092699289707
241 387176444 58.69040562283004 5.716801408462995
251 398266101 55.41112710644424 4.80701136330215
261 408736085 51.76560250656279 4.039144321637328
271 418517299 48.03327970192226 3.3934307858469435
281 427593307 44.140062664069774 2.8530125008949283
291 435933672 40.162164450842575 2.4032084636651545
301 443522478 36.135574561774916 2.0312521494366087
311 450350445 32.09839952578542 1.7261316126348367
321 456415694 28.107799136252012 1.4783162180069098
331 461726908 24.18070962824964 1.2793937989936308
341 466296195 20.36158861885003 1.1219297471407659
351 470143896 16.90871369294606 0.999214514142271
361 473339163 13.55110508933864 0.9053587508447415
371 475899930 10.657125920907783 0.8354689966004655
381 477913871 8.10187145397578 0.7847065118496555
391 479445100 5.995427216529765 0.7489588901043858
401 480578338 4.26369718011686 0.7246516570701415
411 481384439 2.9701922262681006 0.7087782856639417
421 481946038 1.958252180540266 0.69890362047775
431 482316504 1.34219662968922 0.6930650862089391
441 482570483 0.8976204589719705 0.6897109723539705
451 482740460 0.6097044626979422 0.6878809648998847
461 482856080 0.4572783470234567 0.687048847760066
471 482942946 0.3662460834956389 0.6866402270691758
481 483012517 0.3344906427301211 0.6864450579426974
491 483076182 0.31755440765517823 0.6863286932659074
501 483136559 0.2963841138114997 0.6862482592440047
511 483192916 0.292150055042764 0.6862000585256887
521 483248535 0.2900330256583961 0.6861603492139755
531 483303854 0.28579896688966044 0.6861280096106686
541 483358198 0.2752138199678211 0.6861033107638289
551 483410541 0.26674570243034973 0.686083454902685
561 483461395 0.26462867304598187 0.6860646575258492
571 483511828 0.25616055550851047 0.6860496389328554
581 483560655 0.2540435261241426 0.6860373234748616
591 483609066 0.25192649673977474 0.6860268498220199
601 483657075 0.2498094673554069 0.686017962991595
611 483704724 0.2498094673554069 0.6860104690349127
621 483752351 0.2498094673554069 0.6860040630353859
631 483800066 0.24557540858667118 0.6859986834916275
641 483846860 0.24557540858667118 0.6859940920780672
651 483893655 0.24557540858667118 0.6859901670407712
661 483940364 0.24557540858667118 0.6859868116054444
671 483987373 0.24557540858667118 0.6859839430614895
681 484034203 0.24345837920230332 0.6859815499368852
691 484080631 0.24134134981793548 0.6859795897210019
701 484126658 0.24134134981793548 0.6859779282745645
711 484172582 0.24134134981793548 0.6859765079011682
721 484218596 0.24557540858667118 0.6859665590477563
731 484265455 0.24134134981793548 0.6859580661288034
741 484311476 0.24134134981793548 0.68595080936866
751 484357496 0.24134134981793548 0.6859446020955055
761 484403462 0.24134134981793548 0.6859392924814668
771 484449571 0.23922432043356762 0.68593475145564
781 484495161 0.24134134981793548 0.6859285157290305
791 484541181 0.24134134981793548 0.6859231861545907
801 484587181 0.24134134981793548 0.6859186309608079
811 484633147 0.24134134981793548 0.6859147375534981
821 484679247 0.24134134981793548 0.6859114097223195
831 484725230 0.24134134981793548 0.6859085652546193
841 484771176 0.24134134981793548 0.685906133897148
851 484817180 0.24134134981793548 0.6859040556148699
861 484863208 0.24134134981793548 0.6859022791035188
871 484909177 0.24134134981793548 0.6859007605188794
881 484955121 0.24134134981793548 0.6858994623911836
891 485001199 0.24134134981793548 0.6858983526976268
901 485047238 0.24134134981793548 0.6858974040699498
911 485093180 0.24134134981793548 0.6858965931174017
921 485139156 0.24134134981793548 0.6858958998482598
931 485185220 0.24345837920230332 0.6858952693041743
941 485231630 0.24345837920230332 0.6858947303065471
951 485278003 0.24345837920230332 0.6858942695561753
961 485324364 0.24345837920230332 0.6858938756871569
971 485370729 0.24345837920230332 0.6858935389856375
981 485417205 0.24345837920230332 0.6858932511495058
991 485463577 0.24345837920230332 0.6858930050830729
