Ite Exchanges Sparsity Functional_value
1 0 99.38182741976459 271.9230888386585
11 18791380 98.7551867219917 232.8718451485832
21 37477460 98.12642899483444 199.39602201689956
31 56057720 97.35583029892454 170.7002449846773
41 74507240 96.61910407316454 146.1026372409827
51 92831650 95.77017529003302 125.0186007754875
61 111011290 94.81539503768312 106.94693267151844
71 129030410 93.7568803454992 91.45808870837465
81 146870350 92.67296130070285 78.18369149721917
91 164527490 91.52341434499111 66.80805813456784
101 181990760 90.20238800914557 57.060394015678675
111 199229630 88.86442543822508 48.70882081178744
121 216230934 87.38462189855196 41.554258882994326
131 232952272 85.6232534507579 35.4266816974677
141 249342030 83.89152341434499 30.179888431210102
151 265404790 82.13650605470404 25.688175163208356
161 281136118 80.10839190447963 21.844126798817218
171 296485652 78.09721398933017 18.555908387661596
181 311456902 75.74519434329748 15.744774657689927
191 325981371 73.32119569819629 13.343096219883154
201 340046693 70.75747311372682 11.293011323424704
211 353627890 68.01168600220171 9.544780199744658
221 366691013 65.09865356931154 8.056012936548898
231 379203452 61.99085443305953 6.790154845617697
241 391127425 58.78778897451097 5.716007101600773
251 402446428 55.510627487509524 4.806189466904866
261 413145760 51.87568803454992 4.038292631478075
271 423160090 48.14124820052502 3.3925518357111946
281 432468890 44.25438225082564 2.852107996900558
291 441042098 40.27860106698281 2.4022752381132206
301 448863213 36.24989414853078 2.0302947459718736
311 455920495 32.21907020069438 1.7251527720236675
321 462219015 28.226352781776612 1.4773197370994042
331 467761710 24.29714624438987 1.278381552304773
341 472560840 20.486493352527734 1.1209037661308119
351 476638265 17.031501397239392 0.9981759187648813
361 480063544 13.673892793631975 0.9043115943592652
371 482854921 10.784147683969854 0.8344119381767205
381 485101480 8.222542128884749 0.7836414026301278
391 486864379 6.1203319502074685 0.7478876558063238
401 488228004 4.390718943178931 0.7235749715048801
411 489264640 3.097213989330172 0.7076974693591631
421 490060074 2.0789228554492336 0.6978193441009771
431 490661656 1.4543991870607165 0.6919776051605167
441 491144441 1.0204081632653061 0.6886206013737896
451 491547592 0.7261410788381742 0.6867881487463431
461 491896673 0.5737149631636888 0.6859551506166801
471 492214542 0.48691675840460663 0.6855455727082348
481 492518980 0.4572783470234567 0.6853492488050774
491 492814042 0.438225082564146 0.6852323140762465
501 493107179 0.4191718181048353 0.6851514824135609
511 493399177 0.41282072995173175 0.6851025364036643
521 493687306 0.4149377593360996 0.6850620137795785
531 493976129 0.40646964179862816 0.6850293009273539
541 494265404 0.3958844948767889 0.6850045475649725
551 494551618 0.3895334067236853 0.6849842405741282
561 494837848 0.38318231857058177 0.6849672842011659
571 495117246 0.37894825980184604 0.6849537781684656
581 495399659 0.3768312304174782 0.6849426610486167
591 495680264 0.3747142010331103 0.684933201737024
601 495962622 0.3725971716487425 0.6849252781216081
611 496243814 0.3725971716487425 0.6849185281683537
621 496526617 0.3683631128800068 0.684912792308473
631 496806460 0.3683631128800068 0.6849079645352483
641 497084272 0.3683631128800068 0.6849038368584984
651 497365216 0.3683631128800068 0.6849003076934089
661 497647040 0.3683631128800068 0.6848972902052419
671 497927326 0.3683631128800068 0.6848947101659759
681 498207904 0.36412905411127106 0.6848926417959253
691 498488350 0.36412905411127106 0.684890909203111
701 498766789 0.36412905411127106 0.68488942780726
711 499045511 0.36412905411127106 0.6848881611705778
721 499324753 0.35989499534253533 0.6848870978270533
731 499605153 0.35989499534253533 0.6848861982753842
741 499883554 0.3577779659581675 0.6848854311864276
751 500160916 0.3577779659581675 0.6848847761884238
761 500438684 0.3577779659581675 0.6848842160910441
771 500716604 0.3577779659581675 0.6848837371383352
781 500995556 0.3577779659581675 0.684883327569276
791 501275617 0.3577779659581675 0.684882977328305
801 501554822 0.3577779659581675 0.6848826778178772
811 501832762 0.3577779659581675 0.6848824216869424
821 502110965 0.3577779659581675 0.6848822026501334
831 502389542 0.3577779659581675 0.684882015333192
841 502668091 0.3577779659581675 0.6848818551408327
851 502945619 0.3577779659581675 0.6848817181437781
861 503224580 0.3577779659581675 0.6848816009821861
871 503502551 0.3577779659581675 0.6848815007830892
881 503779814 0.3577779659581675 0.6848814150898073
891 504060109 0.3577779659581675 0.6848813418016023
901 504339135 0.3577779659581675 0.6848812791220836
911 504619081 0.3577779659581675 0.6848812255150967
921 504898580 0.3577779659581675 0.6848811796670071
931 505175981 0.3577779659581675 0.6848811404544546
941 505455899 0.3577779659581675 0.6848811069167806
951 505733424 0.3577779659581675 0.6848810782324551
961 506011008 0.3577779659581675 0.6848810536989187
971 506289260 0.3577779659581675 0.6848810327153473
981 506566868 0.3577779659581675 0.6848810147679141
991 506847199 0.3577779659581675 0.6848809994171893
