Ite Exchanges Sparsity Functional_value
1 0 93.98763654839529 55.96180422948598
11 17881180 87.70641036497587 44.9310362310616
21 34697820 81.06952324498263 35.71904245669383
31 50389190 73.8208146329071 28.0745368403285
41 64860340 66.23126428994834 21.785966615363414
51 78045070 58.49140486069947 16.66261699088011
61 89921590 50.844694724362775 12.538825636029529
71 100512490 43.16834617664493 9.266489344328708
81 109799770 35.72910491997629 6.723726908140492
91 117824230 28.632822423575238 4.790626408554262
101 124648430 22.04886103819121 3.369254674389081
111 130353940 16.282072995173174 2.358778560130016
121 135082510 11.385384029130325 1.673829081155209
131 138982800 7.710221017867728 1.2281641224740185
141 142259040 4.894571936658481 0.9547110698190564
151 145060010 2.92150055042764 0.7989144022623125
161 147529160 1.6893894487255483 0.7168930219019465
171 149792210 0.9526632229655347 0.6783467301082563
181 151935010 0.5970022863917351 0.662951536489508
191 154018050 0.438225082564146 0.6566950893445345
201 156075330 0.3810652891862139 0.6545818397604741
211 158124230 0.34930984842069607 0.6536262045264702
221 160168780 0.32813955457701754 0.6532017235672465
231 162211320 0.32178846642391395 0.6529233014574941
241 164253260 0.3196714370395461 0.6526910048884214
251 166295000 0.30908629011770683 0.6525057681945587
261 168335730 0.3027352019646033 0.652376646492456
271 170375860 0.30061817258023543 0.6522742600186939
281 172415790 0.30061817258023543 0.6521888700452738
291 174455720 0.29426708442713184 0.6521194120282292
301 176495040 0.292150055042764 0.6520627177297498
311 178534160 0.2879159962740283 0.6520171291248815
321 180572880 0.2836819375052926 0.6519803875890163
331 182611200 0.2815649081209247 0.6519515411658157
341 184649320 0.27944787873655685 0.6519287395513699
351 186687230 0.27944787873655685 0.6519101734954778
361 188725140 0.27944787873655685 0.6518945553524126
371 190763050 0.2752138199678211 0.6518814627706425
381 192800560 0.2752138199678211 0.6518704850386751
391 194838070 0.2730967905834533 0.6518612392963936
401 196875380 0.2730967905834533 0.6518534636807876
411 198912690 0.27097976119908546 0.651846962899205
421 200949800 0.2688627318147176 0.651841604764067
431 202986710 0.2688627318147176 0.6518371171620325
441 205023620 0.26674570243034973 0.6518334268923583
451 207060330 0.26674570243034973 0.6518303712809268
461 209097040 0.26674570243034973 0.6518277940107686
471 211133750 0.26674570243034973 0.6518256195558254
481 213170460 0.26674570243034973 0.6518237844626416
491 215207170 0.26462867304598187 0.6518223151852901
501 217243680 0.26462867304598187 0.6518210850158637
511 219280190 0.26462867304598187 0.6518200469608706
521 221316700 0.26462867304598187 0.6518191708041232
531 223353210 0.26462867304598187 0.6518184311345605
541 225389720 0.26462867304598187 0.6518178065676453
551 227426230 0.26462867304598187 0.6518172790973129
561 229462740 0.262511643661614 0.6518168510917406
571 231499050 0.262511643661614 0.6518164949721867
581 233535360 0.262511643661614 0.6518161942156048
591 235571670 0.262511643661614 0.6518159401728166
601 237607980 0.262511643661614 0.6518157255547226
611 239644290 0.262511643661614 0.6518155442164772
621 241680600 0.262511643661614 0.6518153909763709
631 243716910 0.2603946142772462 0.6518152651805651
641 245753020 0.25827758489287833 0.6518151664217845
651 247788930 0.25827758489287833 0.6518150851499501
661 249824840 0.25827758489287833 0.65181501653031
671 251860750 0.25827758489287833 0.6518149585832227
681 253896660 0.25827758489287833 0.6518149096408643
691 255932570 0.25827758489287833 0.6518148682976639
701 257968480 0.25827758489287833 0.6518148333687199
711 260004390 0.25827758489287833 0.6518148038548872
721 262040300 0.25827758489287833 0.6518147789134466
731 264076210 0.25616055550851047 0.6518147578877853
741 266111920 0.25616055550851047 0.6518147401997094
751 268147630 0.25616055550851047 0.6518147252506854
761 270183340 0.25616055550851047 0.6518147126150419
771 272219050 0.25616055550851047 0.6518147019335565
781 274254760 0.25616055550851047 0.6518146929030229
791 276290470 0.25616055550851047 0.6518146852674679
801 278326180 0.25616055550851047 0.6518146788107557
811 280361890 0.25616055550851047 0.6518146733503594
821 282397600 0.25616055550851047 0.6518146687321102
831 284433310 0.25616055550851047 0.6518146648257745
841 286469020 0.25616055550851047 0.6518146615213218
851 288504730 0.25616055550851047 0.6518146587257797
861 290540440 0.25616055550851047 0.6518146563605784
871 292576150 0.25616055550851047 0.6518146543593134
881 294611860 0.25616055550851047 0.6518146526658548
891 296647570 0.25616055550851047 0.6518146512327525
901 298683280 0.25616055550851047 0.6518146500198898
911 300718990 0.25616055550851047 0.651814648993347
921 302754700 0.25616055550851047 0.651814648124441
931 304790410 0.25616055550851047 0.6518146473889149
941 306826120 0.25616055550851047 0.651814646766253
951 308861830 0.25616055550851047 0.6518146462391025
961 310897540 0.25616055550851047 0.651814645792784
971 312933250 0.25616055550851047 0.6518146454148798
981 314968960 0.25616055550851047 0.651814645094883
991 317004670 0.25616055550851047 0.6518146448239037
